quantile,good_fraction,extra_delay,age_mode,policy,seed,wAoI,age_mae,age_bias,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,19,407.9591111111111,0.0,0.0,45.0,80.0,65.2,0.3936233636362289,23.997664751645218,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,0,640.6406666666667,7.9895555555555395,7.9895555555555395,63.0,94.0,81.43185185185185,0.3838803262444491,23.991037702018026,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,1,603.2068888888889,7.999259259259239,7.999259259259239,60.0,96.0,81.09814814814816,0.3952553029545057,23.999700203269867,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,2,647.2442222222222,8.021796296296298,8.021796296296298,63.0,98.0,84.78925925925925,0.3966229081040778,23.99414613042002,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,3,651.3217777777778,7.997944444444454,7.997944444444454,61.0,97.0,82.03037037037036,0.39700351587336924,23.999232417519437,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,4,650.6757777777777,8.006370370370373,8.006370370370373,59.0,95.0,81.30222222222223,0.39625974897139365,23.99899563060374,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,5,662.2937777777778,8.013759259259267,8.013759259259267,61.0,92.0,79.77481481481482,0.39543184004001664,23.999584316425814,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,6,658.2566666666667,8.012111111111121,8.012111111111121,61.0,92.0,79.36666666666666,0.39463892042840687,23.993984540529798,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,7,642.3786666666666,8.01266666666667,8.01266666666667,61.0,95.0,80.7025925925926,0.39060563093087797,23.98609427452019,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,8,614.9968888888889,7.9800555555555714,7.9800555555555714,59.0,95.0,81.63814814814815,0.397242921459903,23.999840338281455,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,9,653.0164444444445,8.004925925925935,8.004925925925935,62.0,94.0,80.90185185185184,0.3999028011118692,23.998588802742063,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,10,659.5102222222222,8.026592592592594,8.026592592592594,63.0,101.0,85.9225925925926,0.39244104284827636,23.994204014912274,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,11,631.7728888888889,8.01907407407408,8.01907407407408,60.0,93.0,79.56814814814815,0.39508530031511363,23.993029707108235,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,12,645.0208888888889,8.015148148148159,8.015148148148159,61.0,95.0,80.91407407407408,0.3954158431166417,23.99872445732167,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,13,667.2626666666666,7.990759259259254,7.990759259259254,65.0,100.0,86.20592592592592,0.3956941050967762,23.999451193967364,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,14,621.4968888888889,8.000851851851849,8.000851851851849,61.0,95.0,81.65925925925926,0.39969369016214795,23.998932098053757,0.4053333333333334,True,True
0.25,0.7497621313035204,8,conservative,Conservative-AoI Bayes-Safe,15,647.3777777777777,7.9992962962962935,7.9992962962962935,63.0,97.0,83.73851851851852,0.4022463396121335,23.999372546833495,0.4053333333333334,True,True
