quantile,good_fraction,threshold_db,policy,seed,wAoI,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,fitted_pLL,fitted_pNL
0.25,0.7497621313035204,-89.41241867615364,FreshSky-B fitted-GE,4,377.1328888888889,0.2113161924894077,0.3909136421902351,103.99007143000838,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Wang'26 fitted-GE,0,394.73622222222224,0.21352947823225019,0.5133762874383486,568.2588108745653,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Wang'26 fitted-GE,1,390.49533333333335,0.2021791817275215,0.5123285776109813,567.0767257065115,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Wang'26 fitted-GE,2,398.8077777777778,0.21018711122926478,0.5096014017386351,586.1223860433298,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Wang'26 fitted-GE,3,383.3888888888889,0.2934075500297589,0.5613970175447952,803.3172872913477,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Wang'26 fitted-GE,4,389.1511111111111,0.226067249750153,0.4741046931906768,361.7599974088024,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Memoryless,0,404.47133333333335,0.20220677772531756,0.37045019180286665,150.74186434208067,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Memoryless,1,432.5946666666667,0.18987530507455008,0.39695163251896143,147.5927214230038,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Memoryless,2,432.46955555555553,0.204575627149999,0.4073238197945951,118.98572969188574,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Memoryless,3,417.1037777777778,0.27502505699331475,0.4019250791764713,144.909518134182,,,,0.9606598984771574,0.1183206106870229
0.25,0.7497621313035204,-89.41241867615364,Memoryless,4,415.6573333333333,0.2140392187456436,0.40943272307669254,150.0922186489465,,,,0.9606598984771574,0.1183206106870229
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky-Safe,0,880.374,0.20467329783402813,0.38603403400611236,23.981681237310116,0.4053333333333334,True,True,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky-Safe,1,914.7917777777777,0.19159812128775144,0.3923731823168974,23.99603731923102,0.4053333333333334,True,True,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky-Safe,2,934.3264444444444,0.20436549051175987,0.38945873997904223,23.922329283693337,0.4053333333333334,True,True,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky-Safe,3,910.122,0.27407284945188287,0.3893155367424097,23.993680683999205,0.4053333333333334,True,True,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky-Safe,4,898.1397777777778,0.21046611613020416,0.3859087983001841,23.99349403210772,0.4053333333333334,True,True,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Bayes-FreshSky,0,906.094,0.20529989687552244,0.38692453927486925,29.72365305990161,,,,0.9239543726235742,0.07633587786259542
