policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Conservative-AoI Safe,4,2,533.6137837837838,26.798108108108107,26.312175675675675,49.0,0.15337837837837837,0.03810810810810811,0.7581409409349711,32.0,164.0,0.00927927927927928,103,11100,0.19711553404081703,0.3687715911263508,23.99590055363013,0.4064864864864865,True,True
Conservative-AoI Safe,4,3,600.7918918918919,31.685135135135134,31.15743243243243,53.0,0.14736486486486486,0.02972972972972973,0.7650118400255262,32.0,187.0,0.015765765765765764,175,11100,0.20988476793355293,0.3634223663673395,23.9726805430643,0.4064864864864865,True,True
Conservative-AoI Safe,4,4,526.6767567567567,26.491891891891893,26.48564864864865,47.0,0.14608108108108106,0.04594594594594595,0.84975048139106,33.0,140.0,0.0034234234234234236,38,11100,0.195614764947137,0.3507310669854391,23.996370870076685,0.4064864864864865,True,True
Static-Geometry Safe,4,0,496.48405405405407,27.703513513513514,26.26459459459459,44.0,0.13128378378378378,0.031621621621621625,0.7176211676488187,30.0,137.0,0.11513513513513514,1278,11100,0.26154187239197396,0.39860502189039787,23.99998690059556,0.4064864864864865,True,True
Static-Geometry Safe,4,1,476.5091891891892,25.873513513513515,25.604905405405407,44.0,0.13245495495495496,0.032432432432432434,0.739041947454717,29.0,141.0,0.09387387387387387,1042,11100,0.2567164791673462,0.3985107295876498,23.999296343741204,0.4064864864864865,True,True
Static-Geometry Safe,4,2,365.8051351351351,22.984324324324323,19.855121621621617,34.0,0.14346846846846847,0.03891891891891892,0.8276146462352204,26.0,92.0,0.024684684684684686,274,11100,0.21492052669118725,0.3897736582926757,23.997267035753424,0.4064864864864865,True,True
Static-Geometry Safe,4,3,414.9327027027027,27.626216216216218,23.460189189189183,36.0,0.14385135135135133,0.03189189189189189,0.8090031891493242,25.0,129.0,0.06657657657657658,739,11100,0.22433094941021045,0.39988854932504375,23.999484871338783,0.4064864864864865,True,True
Static-Geometry Safe,4,4,348.36756756756756,19.60810810810811,18.930864864864862,31.0,0.13709459459459458,0.051351351351351354,0.8952978627716552,26.0,99.0,0.012972972972972972,144,11100,0.20481658695475832,0.3830159350761478,23.996370870076714,0.4064864864864865,True,True
Max-Age-First Safe,4,0,503.15675675675675,25.894594594594594,25.56756756756757,43.0,0.12509009009009012,0.03405405405405405,0.7693908369434718,27.0,139.0,0.6830630630630631,7582,11100,0.27167055306528154,0.40097767083022173,23.99998690059656,0.4064864864864865,True,True
Max-Age-First Safe,4,1,479.4643243243243,27.92837837837838,24.258540540540537,43.0,0.12808558558558558,0.032972972972972976,0.7846505732355633,27.0,143.0,0.675045045045045,7493,11100,0.2653911356023199,0.40079119155953913,23.99962992177736,0.4064864864864865,True,True
Max-Age-First Safe,4,2,387.60486486486485,26.94810810810811,20.729391891891886,33.0,0.13056306306306306,0.035405405405405405,0.8972089539535095,25.0,231.0,0.4438738738738739,4927,11100,0.2339523124972593,0.4004121302303125,23.9997913618177,0.4064864864864865,True,True
Max-Age-First Safe,4,3,447.74135135135134,28.131351351351352,24.493770270270264,39.0,0.13815315315315319,0.031621621621621625,0.8309243433512551,24.0,187.0,0.6004504504504504,6665,11100,0.2305822603974607,0.4022185942403909,23.999484871339032,0.4064864864864865,True,True
Max-Age-First Safe,4,4,364.18783783783783,18.423783783783783,17.959256756756755,30.0,0.12713963963963962,0.052702702702702706,0.9354611844092977,27.0,99.0,0.25045045045045045,2780,11100,0.2160889194586719,0.39964753378954315,23.999716657853337,0.4064864864864865,True,True
Round-Robin Safe,4,0,525.7702702702703,26.375135135135135,25.182972972972973,43.0,0.11986486486486486,0.03027027027027027,0.7362977525250791,28.0,140.0,0.06612612612612613,734,11100,0.2509970842180485,0.40038450859526575,23.999973801193057,0.4064864864864865,True,True
Round-Robin Safe,4,1,535.7762162162162,26.62972972972973,26.23135135135135,46.0,0.12141891891891891,0.03648648648648649,0.7495204679267472,28.0,200.0,0.07504504504504504,833,11100,0.24647176520330605,0.4014780460706874,23.999478626422135,0.4064864864864865,True,True
Round-Robin Safe,4,2,401.4481081081081,26.647567567567567,20.651378378378368,33.0,0.14092342342342343,0.033783783783783786,0.8257260960081814,20.0,164.0,0.03027027027027027,336,11100,0.20810551294093846,0.40320245866397336,23.99767873855427,0.4064864864864865,True,True
Round-Robin Safe,4,3,447.84648648648647,28.176756756756756,25.365810810810807,40.0,0.13722972972972972,0.03432432432432433,0.8217496853083975,24.0,192.0,0.05369369369369369,596,11100,0.21638555515643146,0.40040782843127354,23.99916512949203,0.4064864864864865,True,True
Round-Robin Safe,4,4,349.9805405405405,16.804864864864864,16.04616216216216,28.0,0.14243243243243245,0.054324324324324325,0.8884196024761406,20.0,84.0,0.01792792792792793,199,11100,0.2023790316729913,0.4020614383270269,23.99888021090879,0.4064864864864865,True,True
