seed,effect,metric,metric_label,unit,effect_value
9,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,1.7522942330953861
9,Belief × shield,max_avg_power,max power,relative_pct,2.0693213420877483
9,Belief × shield,rejection_rate,rejection,percentage_points,-0.36711711711711753
9,Age × shield,wAoI,W-AoI,relative_pct,3.00627887579325
9,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,2.177293934681182
9,Age × shield,worst_user_mean_aoi,worst user,relative_pct,0.7655738449853556
9,Age × shield,max_avg_power,max power,relative_pct,2.169318102422461
9,Age × shield,rejection_rate,rejection,percentage_points,3.218468468468467
9,Three-way,wAoI,W-AoI,relative_pct,3.2586664352777306
9,Three-way,p99_slot_aoi,p99 AoI,relative_pct,8.398133748055988
9,Three-way,worst_user_mean_aoi,worst user,relative_pct,4.989429541456324
9,Three-way,max_avg_power,max power,relative_pct,-1.2200638164916646
9,Three-way,rejection_rate,rejection,percentage_points,0.14189189189189236
10,Expected age,wAoI,W-AoI,relative_pct,-26.528139880341154
10,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-16.793893129770993
10,Expected age,worst_user_mean_aoi,worst user,relative_pct,-16.485562049952637
10,Expected age,max_avg_power,max power,relative_pct,4.396578109195893
10,Expected age,rejection_rate,rejection,percentage_points,2.1666666666666674
10,Bayesian belief,wAoI,W-AoI,relative_pct,1.7564841559360707
10,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,9.465648854961833
10,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,3.955227670695038
10,Bayesian belief,max_avg_power,max power,relative_pct,2.8634965222717055
10,Bayesian belief,rejection_rate,rejection,percentage_points,0.06756756756756757
10,Safety shield,wAoI,W-AoI,relative_pct,0.9215546217432549
10,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,10.687022900763358
10,Safety shield,worst_user_mean_aoi,worst user,relative_pct,-1.13807745727793
10,Safety shield,max_avg_power,max power,relative_pct,-2.6794115407106665
10,Safety shield,rejection_rate,rejection,percentage_points,8.076576576576572
10,Belief × age,wAoI,W-AoI,relative_pct,-0.054278218010101624
10,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,-0.916030534351145
10,Belief × age,worst_user_mean_aoi,worst user,relative_pct,5.5530407248012175
10,Belief × age,max_avg_power,max power,relative_pct,-2.5141006622559616
10,Belief × age,rejection_rate,rejection,percentage_points,0.02252252252252264
10,Belief × shield,wAoI,W-AoI,relative_pct,0.5132021002604451
10,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,2.1374045801526718
10,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,3.1726614098116612
10,Belief × shield,max_avg_power,max power,relative_pct,0.5021276841035357
10,Belief × shield,rejection_rate,rejection,percentage_points,0.06756756756756757
10,Age × shield,wAoI,W-AoI,relative_pct,2.0404700145427404
10,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,3.969465648854962
10,Age × shield,worst_user_mean_aoi,worst user,relative_pct,1.876480836621634
10,Age × shield,max_avg_power,max power,relative_pct,2.3300156806949293
10,Age × shield,rejection_rate,rejection,percentage_points,2.1666666666666674
10,Three-way,wAoI,W-AoI,relative_pct,0.17343177905806353
10,Three-way,p99_slot_aoi,p99 AoI,relative_pct,1.5267175572519085
10,Three-way,worst_user_mean_aoi,worst user,relative_pct,-1.1279199945238052
10,Three-way,max_avg_power,max power,relative_pct,-0.5720068561066917
