policy,extra_delay,seed,uav,pi_los,pth,mean_aoi,avg_power,service_rate,max_queue
FreshSky-Safe,2,13,9,0.8385292043,0.488449848,6.42,0.1235646102,0.18,1.107598784
FreshSky-Safe,2,13,10,0.9458583108,0.3469497415,5.306216216,0.07435976892,0.1802702703,0.3469497415
FreshSky-Safe,2,13,11,0.3749843981,1.241568686,13.04378378,0.3197878264,0.08459459459,20.74353328
FreshSky-Safe,2,14,0,0.3969158517,1.177446822,11.56162162,0.3233205327,0.09486486486,17.27829829
FreshSky-Safe,2,14,1,0.64914127,0.7134614509,8.188108108,0.1957198305,0.1391891892,8.257689331
FreshSky-Safe,2,14,2,0.685168137,0.6676722331,7.818108108,0.1813542147,0.1386486486,6.021116895
FreshSky-Safe,2,14,3,0.2123384503,2.128067317,26.16054054,0.3957054902,0.03648648649,23.99261653
FreshSky-Safe,2,14,4,0.8391928019,0.4876767217,6.034594595,0.1204693307,0.1759459459,1.715150826
FreshSky-Safe,2,14,5,0.2547057577,1.782678959,18.35351351,0.3782170224,0.05189189189,23.98752715
FreshSky-Safe,2,14,6,0.6450583303,0.7188179662,9.309189189,0.2041831574,0.1313513514,7.408085086
FreshSky-Safe,2,14,7,0.3536782427,1.310923092,15.54648649,0.3429658252,0.07351351351,20.54784677
FreshSky-Safe,2,14,8,0.3495021855,1.325454306,14.73378378,0.343543427,0.07486486486,23.96543327
FreshSky-Safe,2,14,9,0.2638904463,1.723560971,18.65432432,0.3861708229,0.05675675676,23.9686823
FreshSky-Safe,2,14,10,0.8142278578,0.5165166625,5.997027027,0.1241035981,0.1740540541,1.448649962
FreshSky-Safe,2,14,11,0.4332858251,1.084128614,11.48567568,0.2874405866,0.09459459459,16.87147258
FreshSky-Safe,2,15,0,0.95,0.2609434761,4.213243243,0.06403693953,0.2154054054,0.2609434761
FreshSky-Safe,2,15,1,0.6682774533,0.6888292002,6.726216216,0.1939891964,0.1721621622,3.177121202
FreshSky-Safe,2,15,2,0.3936552323,1.186565108,11.99648649,0.3306347638,0.09621621622,23.29833884
FreshSky-Safe,2,15,3,0.8783623152,0.4408835581,5.871621622,0.1075994197,0.1854054054,1.013253371
FreshSky-Safe,2,15,4,0.2542081145,1.786011998,20.59702703,0.3885782861,0.05297297297,23.99851593
FreshSky-Safe,2,15,5,0.6112416568,0.7647485898,7.725405405,0.2172299373,0.1521621622,6.894971796
FreshSky-Safe,2,15,6,0.1961261937,2.305041448,29.73945946,0.3931030144,0.02837837838,23.99157501
FreshSky-Safe,2,15,7,0.2603661895,1.74572184,17.90351351,0.3944387724,0.05189189189,23.98635636
FreshSky-Safe,2,15,8,0.4858854259,0.9708198352,9.800540541,0.280750601,0.1213513514,12.95803637
FreshSky-Safe,2,15,9,0.9440218225,0.349980936,4.821891892,0.08494131907,0.2027027027,0.349980936
FreshSky-Safe,2,15,10,0.777121657,0.5589976316,7.044594595,0.1441307407,0.16,2.620955001
FreshSky-Safe,2,15,11,0.6438927182,0.7203540735,9.264324324,0.1890442717,0.1337837838,4.64601925
FreshSky-Safe,2,16,0,0.3932789834,1.187626136,13.95486486,0.3334982582,0.08459459459,23.94216703
FreshSky-Safe,2,16,1,0.7735119064,0.5631378354,6.898648649,0.1692457495,0.1808108108,4.31530805
FreshSky-Safe,2,16,2,0.901603995,0.4113518347,5.104054054,0.106951477,0.2048648649,0.4908146776
FreshSky-Safe,2,16,3,0.8416273572,0.4848363331,6.055135135,0.1193745674,0.1767567568,1.163526998
FreshSky-Safe,2,16,4,0.2260479039,2.00065631,19.12081081,0.3941833649,0.04675675676,23.7686717
FreshSky-Safe,2,16,5,0.7045979448,0.6439160289,6.141621622,0.1789042372,0.177027027,4.146572491
FreshSky-Safe,2,16,6,0.6624829137,0.6962092138,7.37972973,0.2086745995,0.1640540541,7.109021131
FreshSky-Safe,2,16,7,0.1982197585,2.280313362,28.67108108,0.3956651833,0.03,23.9935297
